name,,addno,addless,time,tap,lan,lat,lng,stime,etime
伊久身農村環境改善センター　やまびこ,,0547-39-0002,静岡県島田市伊久美3300番地,8:30～21:30,無,施設内,34.926895,138.135776,8:30:00,21:30:00
北部ふれあいセンター　たちばな,,0547-32-1100,静岡県島田市神座397番地の1,8:30～21:30,無,施設内,34.870887,138.11626,8:30:00,21:30:00
大津農村環境改善センター　山王,,0547-37-3029,静岡県島田市尾川1番地,8:30～21:30,無,施設内,34.860867,138.180821,8:30:00,21:29:59
島田市こども館,,0547-34-3341,静岡県島田市本通三丁目3番の3　（おび・りあ4階）,10:00～19:00,無,施設内（４階）,34.832352,138.174824,10:00:00,19:00:00
島田図書館,,0547-36-7226,静岡県島田市本通三丁目3番の3　（おび・りあ2階・3階）,9:30～20:00（平日）　9:30～17:30（土日祝）,有,２階,34.83244,138.175215,9:30:00,20:00:00
六合公民館　ロクティ,,0547-37-3087,静岡県島田市道悦五丁目13番3号,8:30～21:30,無,施設内,34.835441,138.209462,8:30:00,21:29:59
初倉地域総合センター　くらら,,0547-38-0002,静岡県島田市阪本1336番地の1,8:30～21:30,無,施設内,34.806802,138.222347,8:30:00,21:29:59
初倉西部ふれあいセンター　しろやま,,0547-38-6868,静岡県島田市湯日3779番地,8:30～21:30,無,施設内,34.804239,138.185815,8:30:00,21:29:59
山村都市交流センターささま,,0547-54-0661,静岡県島田市川根町笹間上394番地,9:00～17:00,無,施設内,35.006962,138.145319,9:00:00,17:00:00
